name,street,city,state,zipcode,phone,country,latitude,longitude
Starbucks Pike Place,1912 Pike Pl,Seattle,WA,98101,(206) 448-8762,USA,47.6097,-122.3425
Starbucks University Village,2675 NE University Village,Seattle,WA,98105,(206) 527-1166,USA,47.6627,-122.2989
Starbucks Capitol Hill,401 Broadway E,Seattle,WA,98102,(206) 860-4469,USA,47.6219,-122.3210
Starbucks Pioneer Square,305 1st Ave S,Seattle,WA,98104,(206) 624-5885,USA,47.6018,-122.3349
Starbucks Fremont,701 N 34th St,Seattle,WA,98103,(206) 632-7567,USA,47.6497,-122.3486
Starbucks Ballard,5406 Ballard Ave NW,Seattle,WA,98107,(206) 297-7720,USA,47.6685,-122.3841
Starbucks Green Lake,7200 E Green Lake Dr N,Seattle,WA,98115,(206) 523-9756,USA,47.6803,-122.3271
Starbucks Downtown,600 Pine St,Seattle,WA,98101,(206) 623-0179,USA,47.6109,-122.3357




